frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
11,1,[469.3031921386719 955.20751953125 952.3594970703125 1387.383056640625],car,[610.0899658203125 1245.844970703125 784.6356201171875 1287.995361328125],0.6588209867477417,NA13NRU,0.2620494712862413
11,2,[1449.29345703125 805.477783203125 1894.3458251953125 1198.15380859375],car,[1614.2423095703125 1082.763427734375 1731.3682861328125 1123.175537109375],0.3585267961025238,HI51VSU,0.29535829901982813
12,1,[464.79449462890625 959.5626831054688 950.5791625976562 1393.627685546875],car,[604.99365234375 1248.33447265625 783.4730224609375 1293.62158203125],0.4481584429740906,NA13NRV,0.21216564863949572
13,1,[463.8523254394531 961.7529296875 950.3062744140625 1397.469970703125],car,[605.873291015625 1254.5621337890625 783.18603515625 1299.6876220703125],0.6139364242553711,NA13NRV,0.48860894180449876
14,1,[460.9349365234375 968.0659790039062 947.8900756835938 1403.4735107421875],car,[616.35595703125 1262.927001953125 784.040771484375 1303.405029296875],0.4196125864982605,NA13NRU,0.4255653730605731
15,2,[1450.76318359375 818.1480712890625 1898.6741943359375 1215.5152587890625],car,[1610.9033203125 1096.794189453125 1735.73583984375 1140.521240234375],0.558929979801178,MVSISU,0.11440682171089801
15,1,[456.7339782714844 973.8850708007812 945.7799072265625 1410.674560546875],car,[592.715087890625 1268.4638671875 777.722900390625 1310.7373046875],0.4434879720211029,N4JNRU,0.11963079756766284
16,1,[454.8578186035156 977.8614501953125 944.4072265625 1414.722412109375],car,[592.8585815429688 1270.6405029296875 775.8230590820312 1313.6673583984375],0.7338399291038513,NMJNRU,0.3455792781291483
17,1,[450.1688537597656 981.9901123046875 942.2385864257812 1420.7603759765625],car,[596.9971923828125 1276.2818603515625 781.5826416015625 1318.8079833984375],0.7698278427124023,NA13NRU,0.39289288684390694
17,2,[1451.337646484375 823.6277465820312 1901.403564453125 1223.6119384765625],car,[1616.1588134765625 1108.712890625 1737.3785400390625 1147.885986328125],0.44167184829711914,HN51VSU,0.20048316449763195
18,1,[447.228271484375 986.3770751953125 940.2275390625 1425.6676025390625],car,[588.89794921875 1278.3206787109375 776.1416015625 1324.5120849609375],0.7298828363418579,NA13NRU,0.3173844283371284
18,2,[1451.2454833984375 827.1259155273438 1902.872314453125 1228.424072265625],car,[1614.1591796875 1114.1414794921875 1738.5302734375 1154.8675537109375],0.44313567876815796,HI51VSV,0.018654896212990782
19,1,[445.2684326171875 990.6217651367188 938.7234497070312 1429.0198974609375],car,[588.6754760742188 1283.693359375 774.3442993164062 1328.69287109375],0.7348703742027283,MA13NRU,0.7720920108578292
19,2,[1451.33935546875 828.1810913085938 1903.63232421875 1231.4256591796875],car,[1617.6688232421875 1114.92236328125 1737.8348388671875 1155.721923828125],0.48279163241386414,HTSISU,0.10392900800235011
20,1,[442.2735290527344 993.096435546875 937.9158935546875 1431.1871337890625],car,[591.2242431640625 1293.001220703125 768.3541259765625 1339.6669921875],0.7947278618812561,NA13NRU,0.23426181827790088
21,2,[1451.5087890625 832.353515625 1908.0494384765625 1244.1307373046875],car,[1616.076171875 1122.142578125 1742.51611328125 1166.9990234375],0.6346806883811951,HI51VSU,0.07860040998790561
21,1,[439.3034362792969 1000.0650634765625 936.2833251953125 1434.989990234375],car,[584.8102416992188 1300.71875 768.1992797851562 1347.14892578125],0.6308101415634155,NA13NRU,0.6628250652535143
22,2,[1451.3214111328125 834.190673828125 1909.0260009765625 1247.211181640625],car,[1617.00830078125 1124.41162109375 1742.738525390625 1170.24072265625],0.7526712417602539,NI51VSV,0.041729807126966126
22,1,[438.0426940917969 1001.7943725585938 936.6195068359375 1435.188720703125],car,[585.5753784179688 1306.338623046875 768.3859252929688 1347.759521484375],0.6162416338920593,NA13MRU,0.6160918456613897
23,1,[434.791748046875 1009.1019287109375 935.3743896484375 1436.877197265625],car,[577.144775390625 1308.8477783203125 770.62109375 1355.4788818359375],0.7709641456604004,NA13NRU,0.43192002958684156
23,2,[1451.667724609375 837.1900024414062 1913.202880859375 1252.9532470703125],car,[1617.019287109375 1132.097900390625 1745.853271484375 1177.970947265625],0.7076936364173889,MW51VSV,0.07079730265481292
24,1,[431.6856384277344 1014.7319946289062 934.8660888671875 1437.17236328125],car,[583.123291015625 1317.45068359375 763.845947265625 1361.912109375],0.5471251606941223,NA13NRU,0.7444198134938672
24,2,[1451.93994140625 842.8250122070312 1914.8968505859375 1258.83203125],car,[1615.27978515625 1136.838134765625 1746.62158203125 1181.1181640625],0.48142537474632263,MSV,0.1735465569197092
25,1,[429.6031494140625 1018.1333618164062 935.2197265625 1435.83447265625],car,[579.4472045898438 1322.5709228515625 761.9315795898438 1369.4996337890625],0.7670109868049622,NI13NRU,0.23133712782397073
25,2,[1452.20361328125 846.0873413085938 1915.244873046875 1261.962158203125],car,[1615.15283203125 1140.2552490234375 1749.091796875 1184.7689208984375],0.578833818435669,MUSISV,0.09539142108975263
26,1,[426.3230285644531 1021.9857788085938 933.9312133789062 1436.1707763671875],car,[576.8726196289062 1333.288818359375 755.2257690429688 1375.215576171875],0.5254819989204407,NA13NRU,0.8412453983577822
26,2,[1452.600341796875 847.799560546875 1917.12060546875 1268.7138671875],car,[1622.0023193359375 1147.06396484375 1746.1170654296875 1187.6640625],0.37964653968811035,MIIYSV,0.11330633308895773
27,1,[424.1785888671875 1029.07275390625 933.027099609375 1436.5189208984375],car,[576.967041015625 1338.87548828125 753.0205078125 1379.813232421875],0.7123784422874451,NA13NRU,0.3598768458733327
28,1,[422.3065490722656 1033.6539306640625 932.338134765625 1434.8194580078125],car,[567.8718872070312 1339.57177734375 752.0579223632812 1381.489013671875],0.40446484088897705,NAIJNRIJ,0.3336077891617669
29,2,[1455.06494140625 860.6280517578125 1920.1109619140625 1283.202880859375],car,[1631.623291015625 1159.848876953125 1752.265380859375 1201.899658203125],0.4205268323421478,MSIVSV,0.1645850823162679
29,1,[418.2726135253906 1039.71923828125 931.6339111328125 1435.2318115234375],car,[581.4874267578125 1347.418701171875 753.8424072265625 1388.696044921875],0.3330812156200409,WA13NRU,0.14913194126089674
30,2,[1455.7987060546875 863.5173950195312 1922.7159423828125 1289.4234619140625],car,[1626.185546875 1164.893798828125 1754.8369140625 1209.655029296875],0.6585038304328918,MSISU,0.12845716963078607
31,2,[1455.94384765625 866.1725463867188 1923.2646484375 1292.6473388671875],car,[1627.301025390625 1168.533203125 1756.888916015625 1211.677734375],0.5669125318527222,MSIVSV,0.0689601843695995
32,2,[1456.5789794921875 872.0506591796875 1925.2752685546875 1298.726806640625],car,[1631.845458984375 1175.6046142578125 1757.273193359375 1217.0765380859375],0.5230804681777954,ISITSU,0.20018515017994767
33,2,[1456.31689453125 877.1110229492188 1929.3868408203125 1304.703125],car,[1635.130859375 1180.185791015625 1757.4775390625 1222.329833984375],0.7554954290390015,MISU,0.13538295030593872
34,2,[1456.387939453125 878.7620239257812 1930.9229736328125 1307.52197265625],car,[1637.76416015625 1183.2210693359375 1753.55908203125 1224.1221923828125],0.7844304442405701,USU,0.05970210652705981
35,2,[1456.365234375 881.6055908203125 1932.379638671875 1313.1422119140625],car,[1638.306396484375 1187.1187744140625 1761.925537109375 1231.8592529296875],0.7472590208053589,LBSW,0.058662161231040955
36,2,[1457.6715087890625 886.8416137695312 1934.3729248046875 1318.48583984375],car,[1634.612060546875 1193.1220703125 1763.901611328125 1237.27734375],0.8185750246047974,HAZL,0.022785894572734833
37,2,[1458.1075439453125 890.1285400390625 1935.4920654296875 1322.109619140625],car,[1632.52685546875 1196.17138671875 1764.833984375 1242.1142578125],0.8071804046630859,DEZL,0.025690266862511635
38,2,[1458.155517578125 894.2289428710938 1939.4239501953125 1328.4559326171875],car,[1632.08056640625 1199.946044921875 1770.203857421875 1246.840576171875],0.6362529993057251,LZW,0.24635232657527098
39,2,[1458.427734375 898.8190307617188 1942.6669921875 1336.028076171875],car,[1639.5369873046875 1208.062744140625 1766.5003662109375 1251.705322265625],0.36058494448661804,None,0.0
40,2,[1458.531494140625 901.136962890625 1943.8255615234375 1339.99267578125],car,[1640.8955078125 1211.488037109375 1764.97021484375 1252.991943359375],0.5030983090400696,LASU,0.08297644555568695
42,2,[1459.0068359375 908.2969360351562 1950.9444580078125 1351.6837158203125],car,[1632.915771484375 1218.827392578125 1773.177978515625 1267.238037109375],0.5313215851783752,CT51FSU,0.11381862707024916
43,2,[1458.981201171875 910.16796875 1952.355712890625 1355.2108154296875],car,[1632.0693359375 1221.9390869140625 1772.86328125 1270.4024658203125],0.5557994842529297,ISIFSU,0.10504652452094947
45,2,[1460.4171142578125 918.5801391601562 1957.2625732421875 1367.16162109375],car,[1644.046142578125 1239.7890625 1777.978759765625 1283.73828125],0.5138772130012512,LTLAVSV,0.018941009332396577
46,2,[1460.791015625 921.6502075195312 1958.9256591796875 1371.5380859375],car,[1643.500244140625 1243.6165771484375 1776.749755859375 1285.6788330078125],0.6610797643661499,LNSISV,0.09891434332479296
47,2,[1461.6082763671875 924.9185791015625 1961.4481201171875 1378.7030029296875],car,[1647.280517578125 1248.538818359375 1779.625 1290.936279296875],0.606376588344574,MWBVSV,0.05665456548493024
48,2,[1462.33251953125 930.5326538085938 1963.2518310546875 1384.3768310546875],car,[1644.982421875 1253.12060546875 1783.09716796875 1298.8349609375],0.7779994010925293,NV51NSV,0.02676200033797048
49,2,[1462.1514892578125 934.0892333984375 1963.3255615234375 1388.61572265625],car,[1645.281005859375 1256.1158447265625 1782.749755859375 1302.1175537109375],0.7974667549133301,HLEINSU,0.2653291855718503
49,3,[733.2662963867188 776.2568969726562 1152.2030029296875 1090.0413818359375],car,[875.015869140625 978.1072998046875 1009.81494140625 1015.1119384765625],0.2683371305465698,GX15OGJ,0.47071055986859134
50,2,[1463.3150634765625 939.578369140625 1966.04931640625 1395.4400634765625],car,[1641.690673828125 1260.942626953125 1787.650634765625 1310.547119140625],0.6775426864624023,DESISU,0.056861917205975665
51,2,[1463.8624267578125 944.0259399414062 1968.0272216796875 1401.4561767578125],car,[1648.1090087890625 1270.76123046875 1790.4483642578125 1315.50439453125],0.2796865701675415,MSIAW,0.06934520491745284
52,2,[1464.4852294921875 947.5531005859375 1968.5732421875 1405.5828857421875],car,[1650.135498046875 1272.09619140625 1787.604248046875 1317.380859375],0.40593022108078003,LESIEU,0.05877296899517484
54,2,[1465.8431396484375 959.2511596679688 1976.548828125 1419.3714599609375],car,[1654.148681640625 1285.966552734375 1793.094482421875 1330.644775390625],0.5282328724861145,None,0.0
55,2,[1466.56494140625 961.3251953125 1979.004150390625 1423.6981201171875],car,[1650.2772216796875 1288.02294921875 1795.9197998046875 1335.83642578125],0.35768476128578186,WUGREU,0.015087142197541526
57,3,[718.8692626953125 800.5162963867188 1145.7086181640625 1121.06103515625],car,[853.6190795898438 1002.2747802734375 997.1950073242188 1043.2698974609375],0.25325843691825867,GX15OGJ,0.7732676421854827
60,2,[1470.4620361328125 979.61865234375 1991.2520751953125 1433.5250244140625],car,[1659.913330078125 1317.754638671875 1805.160400390625 1364.052001953125],0.38565075397491455,MESV,0.24801498651504517
62,2,[1473.09228515625 986.3121337890625 1996.00634765625 1434.693115234375],car,[1664.60546875 1329.1761474609375 1809.7421875 1376.3226318359375],0.4418182075023651,MISU,0.1446043699979782
67,3,[701.1651611328125 825.9725952148438 1140.970703125 1155.5782470703125],car,[847.3299560546875 1031.377685546875 991.3526611328125 1073.038330078125],0.6368427276611328,GX15OGJ,0.6146863230575395
68,2,[1476.56103515625 1012.1365966796875 2020.2403564453125 1436.4453125],car,[1679.3375244140625 1369.6260986328125 1820.4627685546875 1411.0245361328125],0.35122233629226685,MVSNSV,0.07293072493579776
69,2,[1476.6044921875 1017.6953735351562 2022.1256103515625 1436.2193603515625],car,[1683.668212890625 1375.249267578125 1821.919677734375 1416.039306640625],0.342084139585495,MU51NEV,0.042786130330522774
79,3,[677.5470581054688 862.3441162109375 1131.6761474609375 1204.661865234375],car,[840.2879028320312 1087.703125 974.2185668945312 1123.48095703125],0.33442047238349915,GXISGJ,0.3411758356105703
89,3,[655.0872802734375 891.6190795898438 1126.614990234375 1251.5562744140625],car,[794.1400146484375 1125.0362548828125 963.5550537109375 1169.9591064453125],0.2613602876663208,GX15OGJ,0.2371714838294052
95,3,[639.1002197265625 913.0181884765625 1122.7210693359375 1281.034423828125],car,[817.3763427734375 1154.772216796875 960.9927978515625 1196.46728515625],0.6384760737419128,GX15OGJ,0.272843830878925
96,3,[637.0048828125 921.891845703125 1121.64990234375 1286.2969970703125],car,[797.2970581054688 1157.755615234375 956.5565795898438 1198.011962890625],0.58807772397995,GX15OGJ,0.5584706572727138
97,3,[636.931396484375 924.6986083984375 1121.728515625 1289.4906005859375],car,[809.4957275390625 1161.23046875 955.1007080078125 1200.6689453125],0.5258278250694275,GX15OGJ,0.6530789429867013
98,3,[634.7601928710938 928.0216064453125 1121.0274658203125 1296.2567138671875],car,[801.1429443359375 1164.610595703125 957.5343017578125 1213.077392578125],0.6327146887779236,GX15OCJ,0.5085349666225175
101,3,[628.990234375 933.40478515625 1120.12451171875 1312.449951171875],car,[802.5790405273438 1191.4620361328125 946.6486206054688 1229.3370361328125],0.25245213508605957,GX15OCJ,0.6077026006228142
102,3,[626.5892333984375 932.6563720703125 1119.2633056640625 1317.2764892578125],car,[807.49951171875 1196.862548828125 949.62841796875 1231.537353515625],0.31835755705833435,GX15OGJ,0.4027084483491634
105,3,[619.6817626953125 934.05126953125 1116.674072265625 1336.04150390625],car,[779.8106689453125 1203.782470703125 936.7550048828125 1246.066162109375],0.29447102546691895,GX15OGJ,0.41001374355397335
107,3,[615.1074829101562 959.5651245117188 1115.0396728515625 1345.9661865234375],car,[789.123779296875 1217.78076171875 931.5986328125 1255.8251953125],0.8178712725639343,GX15OCJ,0.47742708713881915
108,3,[611.0423583984375 969.2639770507812 1113.943603515625 1352.954345703125],car,[775.8475341796875 1218.241943359375 939.7579345703125 1260.000732421875],0.43353405594825745,GX15OGJ,0.5992594487366804
109,3,[609.1137084960938 974.0455932617188 1113.1705322265625 1356.1473388671875],car,[781.9642333984375 1223.36083984375 937.5921630859375 1261.97998046875],0.54274582862854,GX15OGJ,0.3275336074970073
110,3,[605.7274169921875 979.9296264648438 1112.0460205078125 1363.26611328125],car,[780.068359375 1226.47412109375 934.1826171875 1275.1884765625],0.4760788381099701,CX15OGJ,0.5410520899144421
111,3,[602.6441040039062 985.7033081054688 1110.1727294921875 1370.7420654296875],car,[770.5223388671875 1234.34765625 937.533447265625 1276.9931640625],0.27813491225242615,GX15OGJ,0.31509494811670963
113,3,[598.7328491210938 993.8991088867188 1107.868408203125 1380.8563232421875],car,[781.9696655273438 1253.18017578125 882.4526977539062 1289.49072265625],0.580766499042511,GXISOC,0.14051624336962568
114,3,[595.0410766601562 999.009033203125 1107.2000732421875 1387.8896484375],car,[769.462646484375 1258.2587890625 925.9202880859375 1294.76171875],0.5420323610305786,GX15OGJ,0.536096564410888
115,3,[593.7727661132812 1001.5867309570312 1106.7578125 1392.2677001953125],car,[771.9826049804688 1260.419677734375 928.0523071289062 1297.237060546875],0.44397661089897156,GX15ODJ,0.39540951634810495
116,3,[590.9457397460938 1007.069580078125 1105.8251953125 1399.5260009765625],car,[762.3557739257812 1265.997314453125 927.8720092773438 1305.273193359375],0.45737653970718384,GX15OCJ,0.46401632378362806
117,3,[587.5218505859375 1013.3013305664062 1105.1246337890625 1406.59912109375],car,[763.7081298828125 1271.3642578125 917.7774658203125 1310.599609375],0.28885889053344727,GX15OCJ,0.26275724706780496
118,3,[586.1196899414062 1016.6544799804688 1104.7952880859375 1410.6815185546875],car,[774.015869140625 1279.1591796875 912.747314453125 1315.033203125],0.5575726628303528,GX15OGJ,0.5356126318459701
119,3,[582.04931640625 1022.2786865234375 1103.31005859375 1415.7808837890625],car,[765.4780883789062 1283.17431640625 925.6119995117188 1321.8779296875],0.7338387370109558,GX15OGJ,0.5747913912385595
120,3,[577.5342407226562 1026.57421875 1101.1729736328125 1421.1400146484375],car,[756.7659912109375 1291.49609375 912.9329833984375 1327.423828125],0.5329569578170776,GXISOG),0.1796039682999034
